Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	net_diversification[1]	net_diversification[2]	net_diversification[3]	net_diversification[4]	q[1][2]	q[1][3]	q[2][1]	q[2][4]	q[3][1]	q[3][4]	q[4][2]	q[4][3]	q_0A0B	q_0A1A	q_0B0A	q_0B1B	q_1A0A	q_1A1B	q_1B0B	q_1B1A	root_frequencies[1]	root_frequencies[2]	root_frequencies[3]	root_frequencies[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]
410	-899.5432	-914.6161	15.07289	0.07860133	0.02359965	0.7516311	0.2256735	-2.543367	-3.746523	2.257857	0.171264	0.134047	0.561801	0.603006	0.01622492	0.001949378	0.008151352	0.01905568	0.01239836	0.01641713	0.01130767	0.004612445	0.001949378	0.01622492	0.01239836	0.01641713	0.008151352	0.01905568	0.004612445	0.01130767	0.0973559	0.622952	0.125782	0.15391	0.2498651	0.1576465	1.313432	0.8286793	-1.386834	-1.8474	1.659478
420	-891.0134	-913.7359	22.72249	0.0346212	0.09110373	0.02622018	0.06899691	-3.363289	-2.395757	-0.277937	0.167815	0.230021	0.431903	0.657726	0.022545	0.007562765	0.0009452013	0.004472037	0.003836076	0.009144614	0.002625622	0.01548662	0.007562765	0.022545	0.003836076	0.009144614	0.0009452013	0.004472037	0.01548662	0.002625622	0.769402	0.169783	0.0342813	0.0265339	0.2024357	0.3211251	0.4581227	0.7267231	-1.597333	-1.135924	0.8167147
430	-886.5869	-912.1918	25.60496	0.04882362	0.1174541	0.1562392	0.3758618	-3.019541	-2.141708	1.163174	0.183626	0.15787	0.835471	0.798765	0.03069957	0.0003621787	0.0004084063	0.007559756	0.004041442	0.005102763	6.694964e-05	0.01569907	0.0003621787	0.03069957	0.004041442	0.005102763	0.0004084063	0.007559756	0.01569907	6.694964e-05	0.769402	0.169783	0.0342813	0.0265339	0.23245	0.2753242	0.9917103	1.174627	-1.45908	-1.289806	1.450756
440	-891.5378	-916.2262	24.68841	0.1750442	0.02544679	0.400468	0.05821744	-1.742717	-3.671166	0.8275953	0.0963576	0.273187	0.443295	0.870208	0.01408008	0.003096153	0.001307803	0.01881443	0.002666622	0.007561114	0.0002455829	0.003741026	0.003096153	0.01408008	0.002666622	0.007561114	0.001307803	0.01881443	0.003741026	0.0002455829	0.66082	0.145822	0.0294434	0.163915	0.2714018	0.2986342	0.8437627	0.9284256	-1.304155	-1.208536	1.134271
450	-893.5808	-913.6917	20.11092	0.182151	0.0667608	0.139799	0.0512382	-1.702919	-2.706639	-0.2646307	0.107495	0.153453	0.693346	0.582188	0.0156031	0.0007649271	0.001106715	0.02007707	0.002111503	0.05331793	0.01252021	0.001050324	0.0007649271	0.0156031	0.002111503	0.05331793	0.001106715	0.02007707	0.001050324	0.01252021	0.66082	0.145822	0.0294434	0.163915	0.2896464	0.2202135	0.8331447	0.6334267	-1.239095	-1.513158	1.056547
460	-879.5621	-911.5188	31.95673	0.09131823	0.09601587	0.0528558	0.05557484	-2.393405	-2.343242	-0.546783	0.167069	0.181623	0.6913	0.744025	0.02321355	0.001532404	0.004172925	0.006561384	0.001061315	0.0002781105	0.0001676915	4.781729e-05	0.001532404	0.02321355	0.001061315	0.0002781105	0.004172925	0.006561384	4.781729e-05	0.0001676915	0.66082	0.145822	0.163915	0.0294434	0.2583876	0.2776388	0.7441561	0.7995994	-1.353294	-1.281434	1.05779
470	-885.9808	-913.8121	27.83131	0.05549782	0.02065917	0.04705102	0.01751483	-2.891412	-3.879596	-0.1651112	0.14637	0.184507	0.652574	0.693539	0.01935528	0.004428271	0.004941287	0.01266748	0.001518662	0.0002843362	1.057499e-05	0.00497502	0.004428271	0.01935528	0.001518662	0.0002843362	0.004941287	0.01266748	0.00497502	1.057499e-05	0.114757	0.380588	0.427809	0.0768458	0.2018683	0.205166	0.6996246	0.7110536	-1.60014	-1.583936	1.242929
480	-888.4947	-914.5384	26.04372	0.06002388	0.02647179	0.1548326	0.0682844	-2.813013	-3.631676	0.9476018	0.177151	0.224726	0.817913	0.961972	0.020437	0.0002288593	0.00591663	0.006760784	0.007306561	0.002819349	0.001564022	0.0004210585	0.0002288593	0.020437	0.007306561	0.002819349	0.00591663	0.006760784	0.0004210585	0.001564022	0.114757	0.380588	0.427809	0.0768458	0.2371749	0.2511974	0.9727452	1.030257	-1.438957	-1.381516	1.411324
490	-887.3946	-913.9661	26.57145	0.1070942	0.04885635	0.3854332	0.1758345	-2.234047	-3.018871	1.280659	0.120951	0.207837	0.473392	0.790883	0.02107944	0.0003201891	0.0003299487	0.008727762	0.0112731	0.0003613013	0.01189876	0.0006710952	0.0003201891	0.02107944	0.0112731	0.0003613013	0.0003299487	0.008727762	0.0006710952	0.01189876	0.114757	0.427809	0.0768458	0.380588	0.228045	0.2566937	0.8588249	0.9667171	-1.478212	-1.359872	1.326022
500	-890.866	-918.6364	27.7704	0.05169825	0.03219474	0.04269323	0.02658693	-2.962331	-3.435952	-0.1913836	0.170905	0.219976	0.406415	0.482175	0.02672496	0.0006286602	0.004970339	0.00174991	0.01254241	0.0042809	0.0007401779	7.728472e-05	0.0006286602	0.02672496	0.01254241	0.0042809	0.004970339	0.00174991	7.728472e-05	0.0007401779	0.114757	0.427809	0.0768458	0.380588	0.222603	0.2521709	0.4491079	0.5087621	-1.502366	-1.377648	0.7018734
510	-888.5414	-914.7572	26.21583	0.0553585	0.0914698	0.05544143	0.09160682	-2.893925	-2.391746	0.001496887	0.134187	0.245012	0.414492	0.742619	0.02304461	0.007379223	0.007762749	0.0147884	0.004490575	0.001182638	0.0004287584	0.0001534903	0.007379223	0.02304461	0.004490575	0.001182638	0.007762749	0.0147884	0.0001534903	0.0004287584	0.427809	0.114757	0.0768458	0.380588	0.1895456	0.3364817	0.4699332	0.8342263	-1.663126	-1.089212	0.907961
